months,rr,rrz,rrp
1,43,.2577447130749683,60.16980322077296
1,44,.3541292574896322,63.83789916554862
1,45,.4470564243305249,67.25828396778164
1,46,.5367201664931518,70.42695380736231
1,47,.6233174428806439,73.34620312165558
1,48,.7070379514653644,76.02285532285012
1,49,.78805990265651,78.46691660705174
1,50,.866548618190955,80.69053116160244
1,51,.9426564867867209,82.70716815219458
1,52,1.016523559523206,84.53099328423042
1,53,1.088278421923887,86.17638932733176
1,54,1.158039156356586,87.65759712241173
1,55,1.225914299906588,88.98845365321577
1,56,1.292003751434439,90.18220772808994
1,57,1.356399607557838,91.25139709621256
1,58,1.419186921203027,92.20777360277292
1,59,1.480444383638766,93.06226536356206
1,60,1.540244934506906,93.82496696729564
1,61,1.598656305936208,94.50515043481043
1,62,1.655741507293008,95.11129111335454
1,63,1.711559257000939,95.65110389403286
