months,hr,hrz,hrp
0,168,1.417363256390701,92.18116251962267
0,169,1.466180033524691,92.87003767046657
0,170,1.514731484864152,93.50797911710183
0,171,1.563021501634996,94.097623124783
0,172,1.611053877540342,94.64160100489384
0,173,1.658832311170096,95.1425206273705
0,174,1.706360408538299,95.60295013944076
0,175,1.753641685698661,96.02540382724226
0,176,1.800679571399366,96.41233003513878
0,177,1.847477409746892,96.76610103992307
0,178,1.894038462854916,97.08900476333939
0,179,1.940365913460402,97.38323819622327
0,180,1.986462867492889,97.65090240070637
0,181,2.032332356586632,97.89399895305684
0,182,2.077977340528216,98.11442768846852
0,183,2.123400709634211,98.3139856101306
0,184,2.168605287055432,98.49436682786742
0,185,2.213593831005685,98.65716339620741
0,186,2.258369036914121,98.80386692761105
0,187,2.30293353950094,98.93587086347434
